noid,codigo_departamento,nombre_departamento,codigo_municipio,nombre_municipio,zona_postal,codigo_postal,limite_norte,limite_sur,limite_este,limite_oeste,tipo,barrios_contenidos_en_el_codigo_postal,veredas_contenidas_en_el_codigo_postal
310,5,ANTIOQUIA,05642,SALGAR,564,56477,MUNICIPIO URRAO,VIA SALGAR - CARMEN DE ATRATO,MUNICIPIO CONCORDIA,M. EL CARMEN DE ATRATO,Rural,Sin Informacion de Barrios,Bellavista- El Roblal-  La Amagaceña-  La Clara Arriba-  La Granizo-  La Liboriana-  La Margarita-  La Ovejita-  Las Andes-  Montebello Abajo-  Montebello Arriba
233,5,ANTIOQUIA,05467,MONTEBELLO,550,55048,VIA RETIRO-L. U.-VERSALLES,MUNICIPIO ABEJORRAL,MPIO. LA CEJA Y ABEJORRAL,MPIO. SANTA BARBARA,Rural,Sin Informacion de Barrios,Agua detal- Alto Bonito-  Buena Vista-  Cabecera Municipal-  Camino a la Planta-  Caunzal-  El Carmelo-  El Olival-  El Socorro-  El Tablazo-  Encenillo-  Getsemani-  La Camelia-  La Galana-  La Granja-  La Inmaculada-  La Loma-  La Miel-  La Peña-  La Qu
1350,20,CESAR,20621,LA PAZ,2020,202018,M. MANAURTE Y RÍO (PERMANENTE),MPIO. A. CODAZZI,PAÍS VENEZUELA,M. SAN DIEGO- VALLE. Y EL PASO,Rural,Sin Informacion de Barrios,Cañada- Casa Grande-  El Cinco-  El Rincon-  Media Luna-  Nuevas Flores-  Sabanas de León-  San Antonio-  Tocaimo
2063,44,LA GUAJIRA,44378,HATONUEVO,4430,443020,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
2292,52,NARIÑO,52001,PASTO,5200,520007,MUNICIPIO CHACHAGUI,LIMITE URBANO,VIA PASTAO - CHACHAGUI,RIO PERMANENTE,Rural,Sin Informacion de Barrios,Robles
1290,19,CAUCA,19100,BOLIVAR,1950,195018,RÍO (PERMANENTE),MPIO. LA CRUZ Y SANTA ROSA,RÍO DANTAS,RÍO (PERMANEN.) Y M. SAN PABLO,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
2821,68,SANTANDER,68682,SAN JOAQUIN,6825,682517,MPIO. MOGOTES Y MOLAGAVITA,MUNICIPIO ONZAGA,MUNICIPIO ONZAGA,MUNICIPIO MOGOTES,Rural,Sin Informacion de Barrios,Cabecera Municipal- Higuerones-  Menepa-  Panamá-  San Agustín-  San Antonio-  San Cayetano-  San Emigdio-  San Isidro-  San José-  San Juan Nepomuceno-  San Roque-  Santa Bárbara-  Santa Clara-  Vega de Infante
2034,44,LA GUAJIRA,44001,RIOHACHA,4400,440009,VIA MATITA - LAS FLORES,MUNICIPIO SAN J. DEL C.,RÍO TAPIAS Y SAN FCO.,MUNICIPIO DIBULLA,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
1480,23,CORDOBA,23555,PLANETA RICA,2330,233040,LIMITE URBANO,CL 20 S,KR 2A,LIMITE URBANO,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
526,11,BOGOTA D.C.,11001,LOCALIDAD RAFAEL URIBE URIBE,1118,111811,AK  27,AK CARACAS,AC  1 DE MAYO,CL 46A S  Y  47A S,Urbano,Bravo Páez- Centenario- Claret- Inglés- Libertador- Murillo Toro- Olaya- Quiroga- Quiroga Central- Quiroga Sur- Santa Lucía- Santiago Pérez- Villa Mayor,Sin Informacion de Veredas
